Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,20.6,50.9,32.996,5.716
2,20.4,41.2,29.739,4.37
3,19.933,36.333,27.384,3.397
4,19.833,32.567,25.602,2.851
5,19.3,30.2,24.184,2.463
6,18.6,28.633,22.922,2.14
7,18.067,27.1,21.828,1.81
8,17.567,25.667,21.001,1.591
9,17.167,24.633,20.308,1.396
10,16.7,23.933,19.749,1.304
11,16.433,23.133,19.178,1.216
12,15.933,22.533,18.71,1.175
13,15.5,22.0,18.269,1.148
14,15.3,21.7,17.861,1.124
15,14.833,21.4,17.455,1.092
16,14.467,21.067,17.056,1.094
17,14.133,20.567,16.683,1.091
18,13.933,19.867,16.306,1.076
19,13.467,19.5,15.903,1.092
20,12.933,19.2,15.517,1.096
21,12.533,18.9,15.15,1.122
22,12.3,18.7,14.723,1.135
23,11.9,18.333,14.349,1.109
24,11.667,18.0,13.987,1.119
25,11.5,17.133,13.638,1.069
26,11.3,17.3,13.287,1.08
27,11.0,17.133,12.925,1.035
28,10.733,16.333,12.642,0.963
29,10.467,15.867,12.391,0.95
30,10.4,15.7,12.161,0.931
31,10.0,15.9,11.951,0.958
32,9.867,15.4,11.704,0.953
33,9.633,15.133,11.436,0.961
34,9.333,14.9,11.203,0.989
35,9.3,14.7,10.975,0.977
36,9.2,14.533,10.728,0.966
37,8.833,14.6,10.513,0.981
38,8.467,13.767,10.255,0.922
39,8.4,13.333,10.037,0.899
40,8.233,13.633,9.809,0.922
41,8.067,13.533,9.618,0.924
42,7.933,12.933,9.414,0.892
43,7.833,12.533,9.212,0.859
44,7.467,12.367,9.024,0.866
45,7.433,12.433,8.859,0.857
46,7.3,12.4,8.697,0.877
47,7.0,12.067,8.536,0.9
48,6.9,11.733,8.345,0.857
49,6.767,11.5,8.176,0.885
50,6.6,11.5,7.997,0.87
51,6.433,11.467,7.824,0.855
52,6.433,11.233,7.66,0.838
53,6.167,11.0,7.521,0.857
54,6.033,11.067,7.365,0.877
55,5.9,10.933,7.218,0.893
56,5.6,10.433,7.026,0.863
57,5.533,10.5,6.853,0.867
58,5.467,10.033,6.696,0.835
59,5.3,10.4,6.579,0.914
60,5.1,9.967,6.431,0.863
61,5.133,10.2,6.3,0.88
62,5.067,9.8,6.177,0.867
63,4.9,9.5,6.057,0.84
64,4.833,9.567,5.945,0.848
65,4.733,9.467,5.85,0.864
66,4.5,9.533,5.712,0.867
67,4.467,9.267,5.594,0.847
68,4.433,9.067,5.495,0.856
69,4.333,9.067,5.383,0.841
70,4.167,8.467,5.276,0.793
71,4.033,8.933,5.197,0.845
72,4.033,8.467,5.092,0.81
73,3.933,8.3,4.987,0.799
74,3.867,8.533,4.911,0.827
75,3.767,8.633,4.851,0.87
76,3.567,8.3,4.744,0.831
77,3.467,8.133,4.657,0.837
78,3.4,8.2,4.554,0.84
79,3.267,8.033,4.469,0.821
80,3.233,8.3,4.415,0.886
81,3.133,8.0,4.28,0.864
82,3.067,7.867,4.156,0.853
83,2.933,7.967,4.054,0.888
84,2.933,7.433,3.927,0.839
85,2.867,7.3,3.839,0.879
86,2.733,7.2,3.717,0.853
87,2.567,7.033,3.602,0.831
88,2.567,6.933,3.529,0.831
89,2.467,7.1,3.47,0.877
90,2.367,7.467,3.387,0.904
91,2.3,6.933,3.283,0.846
92,2.2,6.667,3.194,0.827
